;"Личный кабинет клиента в сфере грузовых перевозок ОАО ""РЖД""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"09.03.2025
17:12";Дислокация вагонов по списку (SPV4664);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Данные о вагоне;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Дислокация вагона;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Номер вагона;Номер накладной;Род вагона;Администрация собственника;Дата и время начала рейса;Государство отправления;Дорога отправления;Станция отправления;Дата и время окончания рейса;Государство назначения;Дорога назначения;Станция назначения;Грузоотправитель (ТГНЛ);Грузоотправитель;Грузоотправитель (ОКПО);Грузоотправитель (наим);Грузополучатель ТГНЛ;Грузополучатель;Грузополучатель (ОКПО);Грузополучатель (наим);Наименование груза;Код груза ГНГ;Вес груза (кг);Пробег в груженом состоянии (км);Пробег в порожнем состоянии (км);Пробег общий (км);Норматив величины пробега (км);Остаток пробега (км);Признак пробега;Особые отметки;Ранее выгруженный груз;Код плательщика;Станция операции;Дорога операции;Операция с вагоном;Мнемокод операции;Дата и время операции;Дата операции;Тип парка;Тип парка (М/Т);Тип парка (П/Г);Тип парка (РП/НРП);Дорога сдачи;Дорога приема;Индекс поезда;Номер поезда;Номер вагона в составе поезда;Номер парка;Номер пути;Количество пломб;Количество груженых контейнеров;Количество порожних контейнеров;Номера контейнеров на вагоне;Нормативный срок доставки;Расстояние пройденное (км);Расстояние оставшееся (км);Расстояние общее (км);Время простоя под последней операцией (сутки:часы:минуты);Время простоя под последней операцией (сутки);Идентификатор отправки по досылке;Идентификатор накладной по досылке;Дата и время отправления (АСОУП) со станции приема груза к перевозке;Дата и время прибытия (АСОУП) на станцию назначения;Идентификатор отправки;Идентификатор накладной
54671888;ЭР823680;Платформы (40);РЖД (20);23.02.2025 09:39;Российская Федерация (643);СЕВЕРО-КАВКАЗСКАЯ (51);ЧЕРКЕССК (531003);08.03.2025 13:28;Российская Федерация (643);МОСКОВСКАЯ (17);БРЯНСК-ЛЬГОВСКИЙ (200002);2080;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ"" (43122305)";43122305;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ""";322;"Московская дирекция инфраструктуры ЦДИ ОАО ""РЖД"" (78970260)";78970260;"Московская дирекция инфраструктуры ЦДИ ОАО ""РЖД""";Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта (421195);0;0;21638;10099;31737;110000;78263;;9, 0, 0; (091118);100612332;БРЯНСК-ЛЬГОВСКИЙ (200002);МОСКОВСКАЯ (17);Окончание расформирования группы (43);ОРФГ;09.03.2025 08:55;09.03.2025 08:55;Местный, Порожний, НРП;Местный;Порожний;НРП;ЮЖНО-УРАЛЬСКАЯ (80);ЗАПАДНО-СИБИРСКАЯ (83);216000 030 200002 (ОРЕЛ+030+БРЯНСК-ЛЬГ.);3063;16;XLVI (2);"НЕЧЕТНЫЙ (СЕВЕРНЫЙ) ПАРК ПРИЕМА ""А"" (1)";0;0;0;            ;11.03.2025;1385;0;1385;0:8:11;0;;0;27.02.2025 16:05;07.03.2025 16:17;2051ЭP823680;1598066810
42110353;37223282;Платформы (40);РЖД (20);09.01.2025 08:27;Российская Федерация (643);ДАЛЬНЕВОСТОЧНАЯ (96);СУЛУК (918407);09.02.2025 17:09;Республика Беларусь (112);БЕЛОРУССКАЯ (13);ЗАДНЕПРОВСКАЯ (157809);2080;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ"" (43122305)";43122305;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ""";3464; (0);0;;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта (421195);86069900;0;74885;36132;111017;160000;48983;;9, 0, 0;Оборудование энергетическое и запасные части к нему (351397);100612332;КРИЧЕВ 1 (158209);МОСКОВСКАЯ (17);Подготовка поездной передаточной ведомости по сдаче вагона с дороги (94);СПВС;09.02.2025 21:25;09.02.2025 21:25;Транзитный, Порожний, НРП;Транзитный;Порожний;НРП;МОСКОВСКАЯ (17);ДАЛЬНЕВОСТОЧНАЯ (96);202008 298 158209 (УНЕЧА+298+КРИЧЕВ 1);3108;41; (1); (1);0;0;0;            ;23.02.2025;5302;105;5407;27:19:41;27;;0;09.01.2025 13:56;;209637223282;1577024892
42207639;37152410;Платформы (40);РЖД (20);20.12.2024 11:01;Российская Федерация (643);КРАСНОЯРСКАЯ (88);НАЗАРОВО (884003);11.01.2025 17:47;Республика Беларусь (112);БЕЛОРУССКАЯ (13);ЗАДНЕПРОВСКАЯ (157809);2080;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ"" (43122305)";43122305;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ""";3464; (0);0;;Вагоны железнодорожные всякие, перевозимые на своих осях (421034);86069900;0;76740;49119;125859;160000;34141;;9, 0, 0;Части машин сельскохозяйственных, не поименованные в алфавите (361577);100612332;КРИЧЕВ 1 (158209);МОСКОВСКАЯ (17);Подготовка поездной передаточной ведомости по сдаче вагона с дороги (94);СПВС;11.01.2025 21:29;11.01.2025 21:29;Транзитный, Порожний, НРП;Транзитный;Порожний;НРП;МОСКОВСКАЯ (17);ВОСТОЧНО-СИБИРСКАЯ (92);202008 271 158209 (УНЕЧА+271+КРИЧЕВ 1);3108;60; (1); (1);0;0;0;            ;14.01.2025;4348;105;4453;56:19:37;56;;0;20.12.2024 12:31;;208837152410;1570752670
42215442;37247932;Платформы (40);РЖД (20);09.01.2025 18:22;Российская Федерация (643);ВОСТОЧНО-СИБИРСКАЯ (92);ТАКСИМО (904404);04.02.2025 15:55;Республика Беларусь (112);БЕЛОРУССКАЯ (13);ЗАДНЕПРОВСКАЯ (157809);2080;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ"" (43122305)";43122305;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ""";3464; (0);0;;Вагоны железнодорожные всякие, перевозимые на своих осях (421034);86069900;0;81035;57256;138291;160000;21709;;9, 0, 0;Панели стеновые, не поименованные в алфавите (251184);100612332;КРИЧЕВ 1 (158209);МОСКОВСКАЯ (17);Подготовка поездной передаточной ведомости по сдаче вагона с дороги (94);СПВС;04.02.2025 19:12;04.02.2025 19:12;Транзитный, Порожний, НРП;Транзитный;Порожний;НРП;МОСКОВСКАЯ (17);ДАЛЬНЕВОСТОЧНАЯ (96);200002 394 158209 (БРЯНСК-ЛЬГ.+394+КРИЧЕВ 1);3106;25; (1); (1);0;0;0;            ;15.02.2025;5152;105;5257;32:21:54;32;;0;14.01.2025 19:07;;209237247932;1579529115
42393439;37118461;Платформы (40);РЖД (20);10.12.2024 14:14;Российская Федерация (643);ВОСТОЧНО-СИБИРСКАЯ (92);ИРКУТСК-СОРТИРОВОЧНЫЙ (930004);29.12.2024 11:39;Республика Беларусь (112);БЕЛОРУССКАЯ (13);ЗАДНЕПРОВСКАЯ (157809);2080;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ"" (43122305)";43122305;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ""";3464; (0);0;;Вагоны железнодорожные всякие, перевозимые на своих осях (421034);86069900;0;65408;34676;100084;110000;9916;;0, 0, 0;Средства транспортирования, не поименованные в алфавите (391303);100612332;КРИЧЕВ 1 (158209);МОСКОВСКАЯ (17);Подготовка поездной передаточной ведомости по сдаче вагона с дороги (94);СПВС;29.12.2024 15:34;29.12.2024 15:34;Транзитный, Порожний, РП;Транзитный;Порожний;РП;МОСКОВСКАЯ (17);ВОСТОЧНО-СИБИРСКАЯ (92);200002 368 158209 (БРЯНСК-ЛЬГ.+368+КРИЧЕВ 1);3104;23; (1); (1);0;0;0;            ;13.01.2025;5514;105;5619;70:1:32;70;;0;14.12.2024 22:24;;209237118461;1567997558
42448654;36997718;Платформы (40);РЖД (20);19.11.2024 20:52;Российская Федерация (643);МОСКОВСКАЯ (17);КУРБАКИНСКАЯ (205400);27.11.2024 16:49;Республика Беларусь (112);БЕЛОРУССКАЯ (13);ЗАДНЕПРОВСКАЯ (157809);2080;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ"" (43122305)";43122305;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ""";3464; (0);0;;Вагоны железнодорожные всякие, перевозимые на своих осях (421034);86069900;0;48512;40855;89367;160000;70633;;0, 0, 0;Оборудование горношахтное и запасные части к нему (351081);100612332;КРИЧЕВ 1 (158209);МОСКОВСКАЯ (17);Подготовка поездной передаточной ведомости по сдаче вагона с дороги (94);СПВС;27.11.2024 20:51;27.11.2024 20:51;Транзитный, Порожний, РП;Транзитный;Порожний;РП;МОСКОВСКАЯ (17);ЗАБАЙКАЛЬСКАЯ (94);202008 239 158209 (УНЕЧА+239+КРИЧЕВ 1);3106;3; (1); (1);0;0;0;            ;26.11.2024;472;105;577;101:20:15;101;;0;24.11.2024 03:05;;201736997718;1558332749
42448662;36887946;Платформы (40);РЖД (20);27.10.2024 04:01;Российская Федерация (643);ВОСТОЧНО-СИБИРСКАЯ (92);НОВАЯ ЧАРА (904300);21.11.2024 15:07;Республика Беларусь (112);БЕЛОРУССКАЯ (13);ЗАДНЕПРОВСКАЯ (157809);2080;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ"" (43122305)";43122305;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ""";3464; (0);0;;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта (421195);86069900;0;57293;51608;108901;160000;51099;;0, 0, 0;Оборудование электротехническое и запасные части к нему (351293);100612332;КРИЧЕВ 1 (158209);МОСКОВСКАЯ (17);Подготовка поездной передаточной ведомости по сдаче вагона с дороги (94);СПВС;22.11.2024 13:00;22.11.2024 13:00;Транзитный, Порожний, РП;Транзитный;Порожний;РП;МОСКОВСКАЯ (17);ЗАБАЙКАЛЬСКАЯ (94);200002 321 158209 (БРЯНСК-ЛЬГ.+321+КРИЧЕВ 1);3104;65; (1); (1);0;0;0;            ;03.12.2024;4902;105;5007;107:4:6;107;;0;29.10.2024 15:52;;209236887946;1549986377
